mass_A
t	x	y
0.000000000E0	1.353931546E-2	6.238502281E-1
1.000000000E-2	1.623691715E-2	6.213189662E-1
2.000000000E-2	2.073273916E-2	6.182777254E-1
3.000000000E-2	2.501203909E-2	6.147746070E-1
4.000000000E-2	2.916992715E-2	6.115687134E-1
5.000000000E-2	3.372208955E-2	6.079055725E-1
6.000000000E-2	3.962099956E-2	6.043786582E-1
7.000000000E-2	4.526750171E-2	6.000366499E-1
8.000000000E-2	5.105455109E-2	5.960220676E-1
9.000000000E-2	5.647657307E-2	5.916424572E-1
1.000000000E-1	6.244165675E-2	5.879476674E-1
1.100000000E-1	7.109214970E-2	5.829192845E-1
1.200000000E-1	7.766984100E-2	5.786940046E-1
1.300000000E-1	8.667796025E-2	5.735886205E-1
1.400000000E-1	9.367473911E-2	5.692683697E-1
1.500000000E-1	1.029067038E-1	5.642499183E-1
1.600000000E-1	1.108582693E-1	5.592191060E-1
1.700000000E-1	1.214286271E-1	5.535888728E-1
1.800000000E-1	1.305038609E-1	5.488099541E-1
1.900000000E-1	1.387140506E-1	5.440993205E-1
2.000000000E-1	1.488657542E-1	5.389849640E-1
2.100000000E-1	1.592110503E-1	5.338956687E-1
2.200000000E-1	1.678326829E-1	5.296190866E-1
2.300000000E-1	1.779431621E-1	5.246736146E-1
2.400000000E-1	1.884784587E-1	5.191839169E-1
2.500000000E-1	1.997951006E-1	5.142306450E-1
2.600000000E-1	2.104433495E-1	5.097379156E-1
2.700000000E-1	2.221085129E-1	5.057308867E-1
2.800000000E-1	2.347201227E-1	5.008436720E-1
2.900000000E-1	2.461859429E-1	4.971257004E-1
3.000000000E-1	2.581458025E-1	4.925593892E-1
3.100000000E-1	2.702882332E-1	4.893790242E-1
3.200000000E-1	2.826477056E-1	4.854224511E-1
3.300000000E-1	2.954227566E-1	4.818127678E-1
3.400000000E-1	3.079807575E-1	4.787630645E-1
3.500000000E-1	3.205378452E-1	4.751334972E-1
3.600000000E-1	3.330022147E-1	4.720679854E-1
3.700000000E-1	3.456042915E-1	4.692651544E-1
3.800000000E-1	3.582392931E-1	4.669571100E-1
3.900000000E-1	3.712539596E-1	4.646726259E-1
4.000000000E-1	3.843642093E-1	4.629075067E-1
4.100000000E-1	3.962542836E-1	4.617671110E-1
4.200000000E-1	4.107353733E-1	4.600701859E-1
4.300000000E-1	4.234175859E-1	4.581241961E-1
4.400000000E-1	4.362612817E-1	4.564129611E-1
4.500000000E-1	4.494375722E-1	4.551852255E-1
4.600000000E-1	4.623634477E-1	4.540836062E-1
4.700000000E-1	4.749022371E-1	4.531776876E-1
4.800000000E-1	4.880086477E-1	4.528069196E-1
4.900000000E-1	5.014492335E-1	4.525898685E-1
5.000000000E-1	5.148749100E-1	4.526173381E-1
5.100000000E-1	5.279309193E-1	4.526260501E-1
5.200000000E-1	5.411638777E-1	4.528283040E-1
5.300000000E-1	5.532129381E-1	4.532723740E-1
5.400000000E-1	5.662448380E-1	4.536973079E-1
5.500000000E-1	5.792340767E-1	4.545230657E-1
5.600000000E-1	5.916443749E-1	4.557106626E-1
5.700000000E-1	6.023124373E-1	4.585258947E-1
5.800000000E-1	6.174881433E-1	4.595757769E-1
5.900000000E-1	6.290007383E-1	4.618848249E-1
6.000000000E-1	6.415146552E-1	4.639567102E-1
6.100000000E-1	6.532913539E-1	4.670835882E-1
6.200000000E-1	6.647799869E-1	4.702713405E-1
6.300000000E-1	6.768217821E-1	4.734165363E-1
6.400000000E-1	6.881438621E-1	4.770822154E-1
6.500000000E-1	7.002858174E-1	4.808651749E-1
6.600000000E-1	7.101697758E-1	4.839097924E-1
6.700000000E-1	7.197804445E-1	4.874790406E-1
6.800000000E-1	7.297135627E-1	4.911676538E-1
6.900000000E-1	7.398277924E-1	4.947671839E-1
7.000000000E-1	7.498983396E-1	4.983824665E-1
7.100000000E-1	7.593565115E-1	5.020286393E-1
7.200000000E-1	7.678662424E-1	5.051748713E-1
7.300000000E-1	7.768766064E-1	5.082525861E-1
7.400000000E-1	7.856733969E-1	5.112282850E-1
7.500000000E-1	7.947551260E-1	5.143167300E-1
7.600000000E-1	8.007047802E-1	5.169412899E-1
7.700000000E-1	8.168577702E-1	5.224717384E-1
7.800000000E-1	8.213439960E-1	5.229853638E-1
7.900000000E-1	8.287434113E-1	5.257113156E-1
8.000000000E-1	8.364015087E-1	5.281761090E-1
8.100000000E-1	8.440458725E-1	5.306503764E-1
8.200000000E-1	8.519605061E-1	5.329477795E-1
8.300000000E-1	8.599436105E-1	5.352898364E-1
8.400000000E-1	8.676701261E-1	5.379279644E-1
8.500000000E-1	8.733396774E-1	5.393051725E-1
8.600000000E-1	8.795302893E-1	5.408391509E-1
8.700000000E-1	8.863918670E-1	5.430862121E-1
8.800000000E-1	8.941359907E-1	5.452529299E-1
8.900000000E-1	9.001257811E-1	5.465255580E-1
9.000000000E-1	9.064518522E-1	5.479211593E-1
9.100000000E-1	9.121974639E-1	5.490795667E-1
9.200000000E-1	9.171147417E-1	5.503937810E-1
9.300000000E-1	9.230530147E-1	5.516982182E-1
9.400000000E-1	9.283917379E-1	5.529382144E-1
9.500000000E-1	9.337226563E-1	5.540999646E-1
9.600000000E-1	9.390602412E-1	5.552651953E-1
9.700000000E-1	9.446809904E-1	5.563309162E-1
9.800000000E-1	9.502963976E-1	5.575467406E-1
9.900000000E-1	9.556401032E-1	5.587094320E-1
1.000000000E0	9.609314662E-1	5.599370063E-1
1.010000000E0	9.635738657E-1	5.599731609E-1
1.020000000E0	9.687279477E-1	5.611508124E-1
1.030000000E0	9.725864939E-1	5.614074905E-1
1.040000000E0	9.775524504E-1	5.624263616E-1
1.050000000E0	9.824768520E-1	5.636129102E-1
1.060000000E0	9.856041923E-1	5.636508091E-1
1.070000000E0	9.908796051E-1	5.646571925E-1
1.080000000E0	9.936897737E-1	5.646591288E-1
1.090000000E0	9.989919416E-1	5.657005468E-1
1.100000000E0	1.001472544E0	5.657757819E-1
1.110000000E0	1.006062781E0	5.663180600E-1
1.120000000E0	1.011078465E0	5.669153526E-1
1.130000000E0	1.010763805E0	5.664117226E-1
1.140000000E0	1.018901408E0	5.687725964E-1
1.150000000E0	1.021560496E0	5.687835633E-1
1.160000000E0	1.028639648E0	5.703713327E-1
1.170000000E0	1.031944710E0	5.706737162E-1
1.180000000E0	1.034827062E0	5.705817566E-1
1.190000000E0	1.038151801E0	5.707538107E-1
1.200000000E0	1.041107929E0	5.707219866E-1
1.210000000E0	1.043776809E0	5.706726278E-1
1.220000000E0	1.046505109E0	5.705234444E-1
1.230000000E0	1.048637508E0	5.705091706E-1
1.240000000E0	1.051335611E0	5.704297940E-1
1.250000000E0	1.057097057E0	5.713776470E-1
1.260000000E0	1.059263731E0	5.715839904E-1
1.270000000E0	1.062353584E0	5.713742819E-1
1.280000000E0	1.065102189E0	5.716543548E-1
1.290000000E0	1.069755271E0	5.725471552E-1
1.300000000E0	1.072430810E0	5.725406417E-1
1.310000000E0	1.075702974E0	5.726444530E-1
1.320000000E0	1.078597156E0	5.725792365E-1
1.330000000E0	1.081543838E0	5.722722574E-1
1.340000000E0	1.084284509E0	5.721743140E-1
1.350000000E0	1.086929934E0	5.721758927E-1
1.360000000E0	1.089405079E0	5.722773309E-1
1.370000000E0	1.091663364E0	5.723861383E-1
1.380000000E0	1.094404853E0	5.722759933E-1
1.390000000E0	1.097116165E0	5.721862361E-1
1.400000000E0	1.099630301E0	5.722210272E-1
1.410000000E0	1.102374984E0	5.721499324E-1
1.420000000E0	1.105015098E0	5.719929582E-1
1.430000000E0	1.108140023E0	5.722888641E-1
1.440000000E0	1.110927265E0	5.722326060E-1
1.450000000E0	1.113913892E0	5.720169478E-1
1.460000000E0	1.116838795E0	5.722772593E-1
1.470000000E0	1.120008962E0	5.721218365E-1
1.480000000E0	1.122852102E0	5.719338068E-1
1.490000000E0	1.124853591E0	5.711919649E-1
1.500000000E0	1.128767682E0	5.719750644E-1
1.510000000E0	1.131805892E0	5.717566448E-1
1.520000000E0	1.134670046E0	5.716228583E-1
1.530000000E0	1.136863415E0	5.706791642E-1
1.540000000E0	1.139660180E0	5.704497254E-1
1.550000000E0	1.142862450E0	5.705918869E-1
1.560000000E0	1.146129643E0	5.703379648E-1
1.570000000E0	1.149302196E0	5.705292165E-1
1.580000000E0	1.152532871E0	5.701968715E-1
1.590000000E0	1.156035992E0	5.702934630E-1
1.600000000E0	1.159115628E0	5.699898717E-1
1.610000000E0	1.161344094E0	5.690289279E-1
1.620000000E0	1.164353061E0	5.687278505E-1
1.630000000E0	1.167979438E0	5.688699045E-1
1.640000000E0	1.171630611E0	5.688234257E-1
1.650000000E0	1.175487683E0	5.687057892E-1
1.660000000E0	1.179068665E0	5.687007390E-1
1.670000000E0	1.183154578E0	5.685673630E-1
1.680000000E0	1.186375645E0	5.682394280E-1
1.690000000E0	1.188557487E0	5.672113020E-1
1.700000000E0	1.192497830E0	5.670509427E-1
1.710000000E0	1.194795839E0	5.659239141E-1
1.720000000E0	1.198770942E0	5.657505845E-1
1.730000000E0	1.199614236E0	5.634403103E-1
1.740000000E0	1.204078491E0	5.631554282E-1
1.750000000E0	1.208682176E0	5.632449788E-1
1.760000000E0	1.213130704E0	5.627738562E-1
1.770000000E0	1.216029515E0	5.616464977E-1
1.780000000E0	1.220494060E0	5.616017507E-1
1.790000000E0	1.223396917E0	5.603428038E-1
1.800000000E0	1.228232506E0	5.606450601E-1
1.810000000E0	1.232614157E0	5.604405046E-1
1.820000000E0	1.237881044E0	5.601985072E-1
1.830000000E0	1.241900689E0	5.591948176E-1
1.840000000E0	1.245469454E0	5.573814265E-1
1.850000000E0	1.249018726E0	5.560645596E-1
1.860000000E0	1.253055165E0	5.546556844E-1
1.870000000E0	1.259375948E0	5.546352525E-1
1.880000000E0	1.263684014E0	5.531858707E-1
1.890000000E0	1.268557058E0	5.519107804E-1
1.900000000E0	1.273100667E0	5.507253318E-1
1.910000000E0	1.278667181E0	5.491837671E-1
1.920000000E0	1.283793362E0	5.478581743E-1
1.930000000E0	1.290136964E0	5.464431940E-1
1.940000000E0	1.295591977E0	5.449396484E-1
1.950000000E0	1.301858561E0	5.435723371E-1
1.960000000E0	1.306886109E0	5.411215911E-1
1.970000000E0	1.313422166E0	5.395649111E-1
1.980000000E0	1.318853408E0	5.368988168E-1
1.990000000E0	1.324448968E0	5.345418398E-1
2.000000000E0	1.331106606E0	5.318379526E-1
2.010000000E0	1.337631329E0	5.291508325E-1
2.020000000E0	1.344055564E0	5.264868846E-1
2.030000000E0	1.351537156E0	5.238340692E-1
2.040000000E0	1.358804150E0	5.207207291E-1
2.050000000E0	1.366240698E0	5.181165001E-1
