mass_A
t	x	y
0.000000000E0	-7.956898321E-3	6.469883382E-1
1.000000000E-2	-4.121658122E-3	6.442639283E-1
2.000000000E-2	-5.565803902E-4	6.413491358E-1
3.000000000E-2	5.056387505E-3	6.377387347E-1
4.000000000E-2	8.537439238E-3	6.347504147E-1
5.000000000E-2	1.392216291E-2	6.309680558E-1
6.000000000E-2	1.930824322E-2	6.270514762E-1
7.000000000E-2	2.478871236E-2	6.231180070E-1
8.000000000E-2	3.198909663E-2	6.179384874E-1
9.000000000E-2	3.779179220E-2	6.137764852E-1
1.000000000E-1	4.339855038E-2	6.096903582E-1
1.100000000E-1	5.120819724E-2	6.045464250E-1
1.200000000E-1	5.954887649E-2	5.995930129E-1
1.300000000E-1	6.612246674E-2	5.949468935E-1
1.400000000E-1	7.474753754E-2	5.899766944E-1
1.500000000E-1	8.320257556E-2	5.846909282E-1
1.600000000E-1	9.186992067E-2	5.793251299E-1
1.700000000E-1	1.014673178E-1	5.738299018E-1
1.800000000E-1	1.113681439E-1	5.684538109E-1
1.900000000E-1	1.209620751E-1	5.633513261E-1
2.000000000E-1	1.308332359E-1	5.579727131E-1
2.100000000E-1	1.413550737E-1	5.525976995E-1
2.200000000E-1	1.528533582E-1	5.472917987E-1
2.300000000E-1	1.643382389E-1	5.419908837E-1
2.400000000E-1	1.734357390E-1	5.377672216E-1
2.500000000E-1	1.854600037E-1	5.325613263E-1
2.600000000E-1	1.955695885E-1	5.284755101E-1
2.700000000E-1	2.083201253E-1	5.232164507E-1
2.800000000E-1	2.184616368E-1	5.190643598E-1
2.900000000E-1	2.296051963E-1	5.150278425E-1
3.000000000E-1	2.409225222E-1	5.108229792E-1
3.100000000E-1	2.524890552E-1	5.067821130E-1
3.200000000E-1	2.658974417E-1	5.028795343E-1
3.300000000E-1	2.788952679E-1	4.988234784E-1
3.400000000E-1	2.892465850E-1	4.959487560E-1
3.500000000E-1	3.047448459E-1	4.920594557E-1
3.600000000E-1	3.163423894E-1	4.891949835E-1
3.700000000E-1	3.297668644E-1	4.864112396E-1
3.800000000E-1	3.432446519E-1	4.838771140E-1
3.900000000E-1	3.558094657E-1	4.811811651E-1
4.000000000E-1	3.674583513E-1	4.793032064E-1
4.100000000E-1	3.796802711E-1	4.775322886E-1
4.200000000E-1	3.944783991E-1	4.751063236E-1
4.300000000E-1	4.078874472E-1	4.735767581E-1
4.400000000E-1	4.207089060E-1	4.721098851E-1
4.500000000E-1	4.354832970E-1	4.706721823E-1
4.600000000E-1	4.480909865E-1	4.700774890E-1
4.700000000E-1	4.625192512E-1	4.690726845E-1
4.800000000E-1	4.752362441E-1	4.685632058E-1
4.900000000E-1	4.871666606E-1	4.683164541E-1
5.000000000E-1	5.004387676E-1	4.681678855E-1
5.100000000E-1	5.146014008E-1	4.681158949E-1
5.200000000E-1	5.283480841E-1	4.681662870E-1
5.300000000E-1	5.407522112E-1	4.689653740E-1
5.400000000E-1	5.539747816E-1	4.698982302E-1
