mass_A
t	x	y
0.000000000E0	-5.435587936E-3	6.486217423E-1
1.000000000E-2	-2.106920420E-3	6.460697790E-1
2.000000000E-2	1.689538920E-3	6.434830953E-1
3.000000000E-2	4.989397222E-3	6.408556626E-1
4.000000000E-2	7.544650673E-3	6.379380103E-1
5.000000000E-2	1.250482279E-2	6.342322094E-1
6.000000000E-2	1.807281207E-2	6.304909241E-1
7.000000000E-2	2.179265317E-2	6.273559141E-1
8.000000000E-2	2.705644338E-2	6.234452474E-1
9.000000000E-2	3.426215367E-2	6.184822399E-1
1.000000000E-1	3.947135532E-2	6.143619480E-1
1.100000000E-1	4.545153812E-2	6.102863859E-1
1.200000000E-1	5.329923823E-2	6.052333767E-1
1.300000000E-1	5.919879046E-2	6.010274834E-1
1.400000000E-1	6.782862046E-2	5.959789592E-1
1.500000000E-1	7.409118971E-2	5.917950469E-1
1.600000000E-1	8.230095271E-2	5.865811689E-1
1.700000000E-1	9.072494368E-2	5.814703334E-1
1.800000000E-1	9.983612171E-2	5.761241472E-1
1.900000000E-1	1.095534749E-1	5.707211196E-1
2.000000000E-1	1.192606763E-1	5.654380411E-1
2.100000000E-1	1.281589937E-1	5.601286074E-1
2.200000000E-1	1.390845588E-1	5.548235890E-1
2.300000000E-1	1.501176509E-1	5.495890030E-1
2.400000000E-1	1.614552732E-1	5.442854246E-1
2.500000000E-1	1.733284195E-1	5.389119377E-1
2.600000000E-1	1.819455936E-1	5.347378790E-1
2.700000000E-1	1.946617308E-1	5.294397800E-1
2.800000000E-1	2.085222738E-1	5.241326981E-1
2.900000000E-1	2.188396630E-1	5.199645667E-1
3.000000000E-1	2.293061726E-1	5.159986692E-1
3.100000000E-1	2.415412353E-1	5.118969790E-1
3.200000000E-1	2.540438039E-1	5.078995883E-1
3.300000000E-1	2.655516800E-1	5.038705792E-1
3.400000000E-1	2.791731626E-1	4.998014606E-1
3.500000000E-1	2.929454824E-1	4.959743863E-1
3.600000000E-1	3.038882153E-1	4.929115734E-1
3.700000000E-1	3.185771717E-1	4.891264276E-1
3.800000000E-1	3.321855617E-1	4.861338309E-1
3.900000000E-1	3.396700092E-1	4.845682982E-1
4.000000000E-1	3.549472904E-1	4.818353424E-1
4.100000000E-1	3.699686434E-1	4.792093719E-1
4.200000000E-1	3.803900990E-1	4.777183753E-1
4.300000000E-1	3.918580291E-1	4.760827752E-1
