mass_A
t	x	y
0.000000000E0	-5.463449073E-3	6.391611690E-1
1.000000000E-2	-2.041058987E-3	6.363594503E-1
2.000000000E-2	7.974022047E-4	6.337043735E-1
3.000000000E-2	3.649028160E-3	6.311130659E-1
4.000000000E-2	1.055417194E-2	6.270234497E-1
5.000000000E-2	1.563158806E-2	6.232681014E-1
6.000000000E-2	2.067626764E-2	6.191321907E-1
7.000000000E-2	2.607646404E-2	6.153749864E-1
8.000000000E-2	3.096721616E-2	6.114161236E-1
9.000000000E-2	3.838988387E-2	6.063535985E-1
1.000000000E-1	4.415252126E-2	6.023577633E-1
1.100000000E-1	5.204230651E-2	5.973050956E-1
1.200000000E-1	6.108612524E-2	5.919650083E-1
1.300000000E-1	7.151220644E-2	5.866213732E-1
1.400000000E-1	7.985279271E-2	5.814506512E-1
1.500000000E-1	8.810944729E-2	5.761613074E-1
1.600000000E-1	9.658666381E-2	5.709536974E-1
1.700000000E-1	1.050810610E-1	5.657006995E-1
1.800000000E-1	1.150343570E-1	5.603617174E-1
1.900000000E-1	1.250888702E-1	5.551430169E-1
2.000000000E-1	1.345608752E-1	5.498473299E-1
2.100000000E-1	1.453278964E-1	5.445526507E-1
2.200000000E-1	1.553152670E-1	5.392702822E-1
2.300000000E-1	1.657381000E-1	5.340747871E-1
2.400000000E-1	1.772060758E-1	5.287762121E-1
2.500000000E-1	1.880208869E-1	5.235243333E-1
2.600000000E-1	1.990876476E-1	5.184680736E-1
2.700000000E-1	2.103301097E-1	5.137042879E-1
2.800000000E-1	2.228445386E-1	5.099487988E-1
2.900000000E-1	2.349170497E-1	5.056200692E-1
3.000000000E-1	2.471758500E-1	5.018597513E-1
3.100000000E-1	2.593752247E-1	4.978121293E-1
3.200000000E-1	2.718570508E-1	4.938101122E-1
3.300000000E-1	2.843129789E-1	4.900041373E-1
3.400000000E-1	2.972506074E-1	4.863136875E-1
3.500000000E-1	3.105474418E-1	4.831003451E-1
3.600000000E-1	3.220053104E-1	4.800193713E-1
3.700000000E-1	3.347441548E-1	4.774089982E-1
3.800000000E-1	3.478100372E-1	4.749328533E-1
3.900000000E-1	3.612186574E-1	4.725349603E-1
4.000000000E-1	3.740472432E-1	4.703854480E-1
4.100000000E-1	3.870177347E-1	4.690619536E-1
4.200000000E-1	3.995523938E-1	4.674094404E-1
4.300000000E-1	4.133341682E-1	4.652168910E-1
4.400000000E-1	4.254565387E-1	4.634413028E-1
4.500000000E-1	4.403168365E-1	4.622450994E-1
4.600000000E-1	4.537207871E-1	4.614370907E-1
4.700000000E-1	4.668686938E-1	4.606283029E-1
4.800000000E-1	4.807488578E-1	4.600195089E-1
4.900000000E-1	4.942653343E-1	4.597898349E-1
5.000000000E-1	5.073939952E-1	4.597784923E-1
5.100000000E-1	5.204933700E-1	4.598289376E-1
5.200000000E-1	5.336482789E-1	4.603013627E-1
5.300000000E-1	5.474945357E-1	4.604057610E-1
5.400000000E-1	5.608249839E-1	4.613417285E-1
5.500000000E-1	5.738651415E-1	4.618165272E-1
5.600000000E-1	5.821936252E-1	4.637562743E-1
5.700000000E-1	5.999297736E-1	4.661672248E-1
5.800000000E-1	6.136234144E-1	4.683473828E-1
5.900000000E-1	6.256084671E-1	4.709762622E-1
6.000000000E-1	6.378224455E-1	4.733321072E-1
6.100000000E-1	6.489643878E-1	4.761641201E-1
6.200000000E-1	6.615719978E-1	4.795227140E-1
6.300000000E-1	6.737510445E-1	4.829703476E-1
6.400000000E-1	6.854222727E-1	4.866440755E-1
6.500000000E-1	6.967274077E-1	4.904733413E-1
6.600000000E-1	7.077012700E-1	4.939644470E-1
6.700000000E-1	7.175214021E-1	4.979949686E-1
6.800000000E-1	7.266291941E-1	5.015594025E-1
6.900000000E-1	7.365840836E-1	5.054045848E-1
7.000000000E-1	7.465230245E-1	5.089688361E-1
7.100000000E-1	7.565733780E-1	5.126580880E-1
7.200000000E-1	7.646611089E-1	5.152781316E-1
7.300000000E-1	7.751159608E-1	5.189397092E-1
7.400000000E-1	7.822881185E-1	5.213294523E-1
7.500000000E-1	7.873061530E-1	5.238197184E-1
7.600000000E-1	8.032010076E-1	5.287168041E-1
7.700000000E-1	8.111842408E-1	5.314271750E-1
7.800000000E-1	8.195749003E-1	5.337143967E-1
7.900000000E-1	8.272401808E-1	5.361954653E-1
8.000000000E-1	8.347219102E-1	5.387296677E-1
8.100000000E-1	8.425284979E-1	5.411627139E-1
8.200000000E-1	8.505607630E-1	5.435923504E-1
8.300000000E-1	8.582684242E-1	5.460940608E-1
8.400000000E-1	8.662593493E-1	5.483514217E-1
8.500000000E-1	8.719313742E-1	5.497766701E-1
8.600000000E-1	8.800070127E-1	5.522231156E-1
