mass_A
t	x	y
0.000000000E0	1.353931546E-2	6.238502281E-1
1.000000000E-2	1.671565101E-2	6.209352672E-1
2.000000000E-2	1.890721712E-2	6.183397687E-1
3.000000000E-2	2.646033462E-2	6.143874805E-1
4.000000000E-2	3.277460258E-2	6.105265950E-1
5.000000000E-2	3.887737434E-2	6.064715765E-1
6.000000000E-2	4.419329893E-2	6.025044942E-1
7.000000000E-2	4.934756089E-2	5.984190515E-1
8.000000000E-2	5.667769060E-2	5.934787853E-1
9.000000000E-2	6.224537218E-2	5.892768274E-1
1.000000000E-1	7.089923383E-2	5.841163270E-1
1.100000000E-1	7.899978026E-2	5.790069996E-1
1.200000000E-1	8.483354704E-2	5.746331773E-1
1.300000000E-1	9.334656292E-2	5.695579599E-1
1.400000000E-1	1.014348553E-1	5.641365902E-1
1.500000000E-1	1.104304597E-1	5.589551488E-1
1.600000000E-1	1.194034265E-1	5.537494280E-1
1.700000000E-1	1.289785635E-1	5.483319795E-1
1.800000000E-1	1.388309626E-1	5.431122830E-1
1.900000000E-1	1.492450242E-1	5.379426948E-1
2.000000000E-1	1.568288881E-1	5.335508606E-1
2.100000000E-1	1.683295564E-1	5.283851252E-1
2.200000000E-1	1.795150320E-1	5.231134070E-1
2.300000000E-1	1.916448440E-1	5.178710980E-1
2.400000000E-1	2.007442339E-1	5.136890465E-1
2.500000000E-1	2.145350887E-1	5.083176951E-1
2.600000000E-1	2.252617670E-1	5.042318671E-1
2.700000000E-1	2.359873410E-1	5.001332599E-1
2.800000000E-1	2.504010622E-1	4.951250736E-1
2.900000000E-1	2.624089280E-1	4.911023356E-1
3.000000000E-1	2.738233010E-1	4.870646959E-1
3.100000000E-1	2.867826250E-1	4.830691753E-1
3.200000000E-1	2.968140588E-1	4.798694600E-1
3.300000000E-1	3.121768109E-1	4.762038814E-1
3.400000000E-1	3.231449072E-1	4.732560820E-1
3.500000000E-1	3.362310599E-1	4.706216088E-1
3.600000000E-1	3.489230542E-1	4.677870537E-1
3.700000000E-1	3.619587535E-1	4.656455809E-1
3.800000000E-1	3.743619458E-1	4.632968478E-1
3.900000000E-1	3.874427667E-1	4.612450797E-1
4.000000000E-1	3.988796232E-1	4.594256950E-1
4.100000000E-1	4.165320626E-1	4.565867377E-1
4.200000000E-1	4.264934931E-1	4.551542824E-1
4.300000000E-1	4.394027183E-1	4.539394608E-1
4.400000000E-1	4.530499956E-1	4.526708136E-1
4.500000000E-1	4.655844207E-1	4.519669494E-1
4.600000000E-1	4.788923242E-1	4.514021915E-1
4.700000000E-1	4.915034497E-1	4.509773896E-1
4.800000000E-1	5.051125336E-1	4.502359136E-1
4.900000000E-1	5.175440711E-1	4.501263076E-1
5.000000000E-1	5.306006455E-1	4.498968338E-1
5.100000000E-1	5.433769439E-1	4.505460398E-1
5.200000000E-1	5.566725476E-1	4.509177688E-1
5.300000000E-1	5.695033278E-1	4.518345419E-1
5.400000000E-1	5.823511116E-1	4.527607888E-1
5.500000000E-1	5.946102031E-1	4.541730069E-1
5.600000000E-1	6.130358981E-1	4.574471695E-1
5.700000000E-1	6.205400492E-1	4.582423039E-1
5.800000000E-1	6.306634276E-1	4.599560868E-1
5.900000000E-1	6.434944677E-1	4.622066964E-1
6.000000000E-1	6.547464820E-1	4.648274140E-1
6.100000000E-1	6.662542767E-1	4.676144654E-1
6.200000000E-1	6.777901367E-1	4.709672702E-1
6.300000000E-1	6.886337825E-1	4.746773518E-1
6.400000000E-1	6.995372816E-1	4.783985586E-1
6.500000000E-1	7.097316090E-1	4.819751254E-1
6.600000000E-1	7.196446816E-1	4.855943701E-1
6.700000000E-1	7.300033880E-1	4.895151188E-1
6.800000000E-1	7.402405185E-1	4.932186876E-1
6.900000000E-1	7.489988470E-1	4.963405613E-1
7.000000000E-1	7.584858643E-1	4.995601632E-1
7.100000000E-1	7.685118458E-1	5.031697864E-1
7.200000000E-1	7.769678071E-1	5.058926384E-1
7.300000000E-1	7.850449747E-1	5.086761041E-1
7.400000000E-1	7.935548231E-1	5.118400430E-1
7.500000000E-1	8.013443383E-1	5.147404669E-1
