mass_A
t	x	y
0.000000000E0	-1.026751003E-2	6.353073236E-1
1.000000000E-2	-6.368956003E-3	6.326523054E-1
2.000000000E-2	-2.682047494E-3	6.299878648E-1
3.000000000E-2	3.053167762E-3	6.260326034E-1
4.000000000E-2	9.696206087E-3	6.221360574E-1
5.000000000E-2	1.168975899E-2	6.195640729E-1
6.000000000E-2	1.672704795E-2	6.156652139E-1
7.000000000E-2	2.175224859E-2	6.117145739E-1
8.000000000E-2	2.745417243E-2	6.076476762E-1
9.000000000E-2	3.518126022E-2	6.026542032E-1
1.000000000E-1	4.165111734E-2	5.986473434E-1
1.100000000E-1	4.981161073E-2	5.934844098E-1
1.200000000E-1	5.820067067E-2	5.883641919E-1
1.300000000E-1	6.348096688E-2	5.842611143E-1
1.400000000E-1	7.207234868E-2	5.790267208E-1
1.500000000E-1	8.091578843E-2	5.737757241E-1
1.600000000E-1	9.002074596E-2	5.685826173E-1
1.700000000E-1	9.905905930E-2	5.633229357E-1
1.800000000E-1	1.090471719E-1	5.580035250E-1
1.900000000E-1	1.189383966E-1	5.527605201E-1
2.000000000E-1	1.294211030E-1	5.475256815E-1
2.100000000E-1	1.399849253E-1	5.423085394E-1
2.200000000E-1	1.502478086E-1	5.370902672E-1
2.300000000E-1	1.582985560E-1	5.329579976E-1
2.400000000E-1	1.702349371E-1	5.277502044E-1
2.500000000E-1	1.772864264E-1	5.236545190E-1
2.600000000E-1	1.906744197E-1	5.184907810E-1
2.700000000E-1	2.001490263E-1	5.143023140E-1
2.800000000E-1	2.136105664E-1	5.092609557E-1
2.900000000E-1	2.244460324E-1	5.051115563E-1
3.000000000E-1	2.354845381E-1	5.011940281E-1
3.100000000E-1	2.476147474E-1	4.971449902E-1
3.200000000E-1	2.602414372E-1	4.931162005E-1
3.300000000E-1	2.739134544E-1	4.890769308E-1
3.400000000E-1	2.836754309E-1	4.863895796E-1
3.500000000E-1	2.940069216E-1	4.836436233E-1
3.600000000E-1	3.100987336E-1	4.796408349E-1
3.700000000E-1	3.216783021E-1	4.768889675E-1
